Command,Link,Description,Preprocessed_Description
show database synchronize,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-database-sync.htm,This command displays database synchronization status.,show database synchronize database synchronization status
show datapath,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath acl id 4,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-4.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath acl id 4 system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath acl id 2700,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-2700.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath acl id 2700 system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath acl id 2701,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-2701.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath acl id 2701 system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath acl id 2702,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-2702.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath acl id 2702 system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath application counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-appl-cntr.htm,"This command displays the datapath application statistics containing application counters and errors generated by applications running on a particular gateway. By default, it displays the combined statistics of all CPUs.",show datapath application counters datapath application statistics containing application counters errors generated applications running particular gateway default combined statistics cpus
show datapath bridge,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bridge.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.,show datapath bridge system statistics instant ap use display various datapath statistics debugging purposes
show datapath bridge counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bridge-countr.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.,show datapath bridge counters system statistics instant ap use display various datapath statistics debugging purposes
show datapath bridge table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bridge-table.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.,show datapath bridge table system statistics instant ap use display various datapath statistics debugging purposes
show datapath bwm-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bwm-table.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.,show datapath bwm-table system statistics instant ap use display various datapath statistics debugging purposes
show datapath cluster details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-db-cl-det.htm,"This command displays the peer statistics for cluster heartbeat requests sent, responses received, and heartbeats missed, and so on.",show datapath cluster details peer statistics cluster heartbeat requests sent responses received heartbeats missed
show datapath cluster heartbeat counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dp-cl-hb.htm,This command displays information related to cluster heartbeat counters.,show datapath cluster heartbeat counters information related cluster heartbeat counters
show datapath cp-bwm table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-cp-bwm-tab.htm,This command displays the data path CP bandwidth management table information on a gateway.,show datapath cp-bwm table data path cp bandwidth management table information gateway
show datapath crypto counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-crypt-countr.htm,Displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath crypto counters system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath debug dma counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-dma-countr.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath debug dma counters system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath debug eap counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-eap-countr.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath debug eap counters system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath debug opcode,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-opcode.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath debug opcode system statistics managed device use show datapath display various datapath statistics debugging purposes
show datapath debug trace-buffer,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-trc-buffer.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.,show datapath debug trace-buffer system statistics managed device use show datapath display various datapath statistics debugging purposes
